Particle ID,Class,Length,Width
1,2x_scapholeberis,835.7472,416.9632
2,2x_scapholeberis,588.1184,278.5824
3,2x_scapholeberis,864.8800,555.3440
4,2x_scapholeberis,668.2336,508.0032
5,2x_scapholeberis,562.6272,271.2992
6,2x_scapholeberis,737.4240,500.7200
7,2x_scapholeberis,773.8400,599.0432
8,2x_scapholeberis,555.3440,267.6576
9,2x_scapholeberis,551.7024,282.2240
10,2x_scapholeberis,504.3616,325.9232
11,2x_scapholeberis,762.9152,511.6448
12,2x_scapholeberis,781.1232,406.0384
1,2x_scapholeberis_abun,347.7728,285.8656
2,2x_scapholeberis_abun,1170.7744,591.7600
3,2x_scapholeberis_abun,580.8352,416.9632
4,2x_scapholeberis_abun,391.4720,285.8656
