Particle ID,Class,Length,Width
1,4x_Alona,274.2577,202.7123
2,4x_Alona,276.0922,215.5538
1,4x_Chydorus,228.3953,182.5327
2,4x_Chydorus,261.4162,199.0433
1,4x_alona_abundance,839.2838,327.4583
1,4x_lepadella,96.3113,66.9592
2,4x_lepadella,87.1388,48.6142
3,4x_lepadella,98.1458,72.4627
4,4x_lepadella,110.9873,65.1248
5,4x_lepadella,96.3113,57.7867
6,4x_lepadella,103.6492,55.9522
7,4x_lepadella,155.0153,85.3042
8,4x_lepadella,98.1458,70.6282
9,4x_lepadella,99.9802,54.1178
10,4x_lepadella,88.9733,57.7867
11,4x_lepadella,92.6423,63.2903
12,4x_lepadella,90.8077,54.1178
13,4x_lepadella,98.1458,72.4627
14,4x_lepadella,99.9802,52.2833
15,4x_lepadella,87.1388,63.2903
16,4x_lepadella,92.6423,57.7867
17,4x_lepadella,90.8077,70.6282
18,4x_lepadella,103.6492,61.4558
19,4x_lepadella,88.9733,65.1248
20,4x_lepadella,88.9733,59.6213
21,4x_lepadella,94.4767,55.9522
22,4x_lepadella,98.1458,66.9592
23,4x_lepadella,109.1527,63.2903
24,4x_lepadella,99.9802,52.2833
25,4x_lepadella,94.4767,61.4558
26,4x_lepadella,81.6352,61.4558
27,4x_lepadella,98.1458,44.9453
28,4x_lepadella,85.3042,55.9522
29,4x_lepadella,96.3113,65.1248
30,4x_lepadella,90.8077,66.9592
31,4x_lepadella,142.1738,81.6352
32,4x_lepadella,88.9733,66.9592
33,4x_lepadella,96.3113,55.9522
34,4x_lepadella,94.4767,55.9522
35,4x_lepadella,94.4767,68.7938
36,4x_lepadella,68.7938,63.2903
1,4x_lepadella_abundance,90.8077,33.9383
2,4x_lepadella_abundance,87.1388,44.9453
3,4x_lepadella_abundance,112.8217,43.1108
4,4x_lepadella_abundance,92.6423,65.1248
5,4x_lepadella_abundance,88.9733,44.9453
6,4x_lepadella_abundance,70.6282,48.6142
7,4x_lepadella_abundance,85.3042,54.1178
8,4x_lepadella_abundance,109.1527,81.6352
9,4x_lepadella_abundance,99.9802,76.1317
10,4x_lepadella_abundance,88.9733,52.2833
11,4x_lepadella_abundance,74.2973,61.4558
12,4x_lepadella_abundance,90.8077,55.9522
13,4x_lepadella_abundance,85.3042,41.2762
14,4x_lepadella_abundance,96.3113,70.6282
15,4x_lepadella_abundance,103.6492,44.9453
16,4x_lepadella_abundance,96.3113,41.2762
17,4x_lepadella_abundance,109.1527,35.7728
18,4x_lepadella_abundance,76.1317,55.9522
19,4x_lepadella_abundance,74.2973,59.6213
20,4x_lepadella_abundance,87.1388,52.2833
21,4x_lepadella_abundance,109.1527,57.7867
22,4x_lepadella_abundance,112.8217,74.2973
23,4x_lepadella_abundance,101.8148,46.7797
24,4x_lepadella_abundance,74.2973,55.9522
25,4x_lepadella_abundance,92.6423,63.2903
26,4x_lepadella_abundance,85.3042,39.4417
27,4x_lepadella_abundance,125.6633,65.1248
28,4x_lepadella_abundance,88.9733,44.9453
29,4x_lepadella_abundance,90.8077,72.4627
30,4x_lepadella_abundance,121.9943,61.4558
31,4x_lepadella_abundance,87.1388,48.6142
32,4x_lepadella_abundance,90.8077,32.1037
33,4x_lepadella_abundance,103.6492,59.6213
34,4x_lepadella_abundance,90.8077,48.6142
35,4x_lepadella_abundance,90.8077,70.6282
36,4x_lepadella_abundance,90.8077,57.7867
37,4x_lepadella_abundance,92.6423,72.4627
38,4x_lepadella_abundance,90.8077,57.7867
39,4x_lepadella_abundance,98.1458,41.2762
40,4x_lepadella_abundance,88.9733,37.6073
41,4x_lepadella_abundance,81.6352,43.1108
42,4x_lepadella_abundance,131.1668,59.6213
43,4x_lepadella_abundance,96.3113,50.4488
44,4x_lepadella_abundance,110.9873,59.6213
45,4x_lepadella_abundance,94.4767,59.6213
46,4x_lepadella_abundance,81.6352,55.9522
47,4x_lepadella_abundance,77.9663,65.1248
48,4x_lepadella_abundance,94.4767,44.9453
49,4x_lepadella_abundance,87.1388,50.4488
50,4x_lepadella_abundance,70.6282,43.1108
51,4x_lepadella_abundance,87.1388,43.1108
52,4x_lepadella_abundance,83.4698,68.7938
53,4x_lepadella_abundance,94.4767,39.4417
54,4x_lepadella_abundance,83.4698,50.4488
55,4x_lepadella_abundance,98.1458,52.2833
56,4x_lepadella_abundance,99.9802,61.4558
57,4x_lepadella_abundance,88.9733,55.9522
58,4x_lepadella_abundance,79.8008,41.2762
59,4x_lepadella_abundance,452.2043,211.8847
1,4x_nauplii_abundance,246.7403,213.7192
2,4x_nauplii_abundance,296.2717,226.5608
1,4x_k_quadrata_abundance,199.0433,94.4767
2,4x_k_quadrata_abundance,246.7403,109.1527
3,4x_k_quadrata_abundance,222.8918,90.8077
4,4x_k_quadrata_abundance,151.3462,125.6633
5,4x_k_quadrata_abundance,219.2227,99.9802
6,4x_k_quadrata_abundance,292.6028,211.8847
