Particle ID,Class,Length,Width
1,4x_lepadella,83.4698,54.1178
2,4x_lepadella,98.1458,55.9522
3,4x_lepadella,83.4698,59.6213
1,4x_lepadella_abundance,68.7938,55.9522
2,4x_lepadella_abundance,105.4838,44.9453
1,4x_nauplii_abundance,177.0292,116.4908
2,4x_nauplii_abundance,268.7543,120.1598
3,4x_nauplii_abundance,178.8638,101.8148
4,4x_nauplii_abundance,144.0083,107.3183
5,4x_nauplii_abundance,171.5257,140.3392
6,4x_nauplii_abundance,169.6912,114.6563
7,4x_nauplii_abundance,178.8638,90.8077
8,4x_nauplii_abundance,160.5188,96.3113
