Particle ID,Class,Length,Width
1,2x_scapholeberis,792.0480,409.6800
2,2x_scapholeberis,467.9456,256.7328
3,2x_scapholeberis,744.7072,409.6800
4,2x_scapholeberis,995.9776,580.8352
5,2x_scapholeberis,741.0656,409.6800
1,2x_scapholeberis_abun,493.4368,406.0384
2,2x_scapholeberis_abun,628.1760,380.5472
3,2x_scapholeberis_abun,675.5168,402.3968
4,2x_scapholeberis_abun,515.2864,256.7328
5,2x_scapholeberis_abun,406.0384,260.3744
6,2x_scapholeberis_abun,675.5168,398.7552
7,2x_scapholeberis_abun,467.9456,253.0912
8,2x_scapholeberis_abun,912.2208,624.5344
1,2x_alona_abun,398.7552,300.4320
