Particle ID,Class,Length,Width
1,4x_nauplii,166.0223,121.9943
1,4x_nauplii_abundance,156.8498,112.8217
2,4x_nauplii_abundance,169.6912,88.9733
3,4x_nauplii_abundance,149.5118,90.8077
