Particle ID,Class,Length,Width
1,4x_lepadella,149.5118,101.8148
1,4x_lepadella_abundance,116.4908,50.4488
2,4x_lepadella_abundance,114.6563,72.4627
1,4x_nauplii_abundance,171.5257,116.4908
2,4x_nauplii_abundance,285.2647,171.5257
